0.08,0.082,0.084,0.086,0.088,0.09
,,"[0, 0, 0, 31, 2, 2, 2, 2, 2, 1, 2, 1, 2, 3, 2, 2, 2, 2, 2]",,,
,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,
,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,
,,"[0, 0, 0, 31, 2, 1, 3, 2, 2, 1, 2, 1, 2, 3, 2, 2, 2, 2, 1]",,,
,,"[0, 0, 0, 32, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",,,
,,"[0, 0, 0, 0, 0, 31, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]",,,
,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,
,,"[0, 0, 0, 31, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",,,
,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 3, 1, 2, 2, 2, 2, 2, 2, 2]",,,
,,"[0, 0, 0, 32, 4, 4, 4, 4, 4, 3, 5, 3, 4, 4, 4, 4, 4, 4, 5]",,,
,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,
,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,
,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,
,,"[0, 0, 0, 32, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5]",,,
,,"[0, 0, 0, 31, 2, 2, 2, 2, 2, 1, 2, 1, 2, 3, 2, 2, 2, 1, 2]",,,
,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 2, 2, 2, 2, 2, 2, 2, 2, 2]",,,
,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,
,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,
,,"[0, 0, 0, 32, 4, 4, 4, 4, 4, 4, 4, 3, 4, 5, 4, 4, 4, 4, 4]",,,
,,"[0, 0, 0, 0, 0, 32, 7, 6, 6, 5, 7, 6, 6, 6, 6, 6, 6, 6, 8]",,,
,,"[0, 0, 0, 32, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5]",,,
,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,
,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,
,,"[0, 0, 0, 31, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 3, 2, 2, 2, 2]",,,
,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,
,,"[0, 0, 0, 31, 2, 2, 2, 2, 2, 1, 2, 1, 2, 3, 2, 2, 2, 2, 2]",,,
,,"[0, 0, 0, 33, 6, 5, 7, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 7, 6]",,,
,,"[0, 0, 0, 31, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4]",,,
,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,
,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,
,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,
,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 5, 2, 3, 2, 2, 1, 3]",,,
,,,"[0, 0, 0, 31, 2, 1, 3, 2, 2, 1, 2, 1, 2, 3, 2, 2, 2, 1, 3]",,
,,,"[0, 0, 0, 32, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 5, 4, 4, 4, 4]",,
,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,
,,,"[0, 0, 0, 2, 30, 2, 2, 2, 2, 1, 2, 1, 2, 2, 3, 2, 2, 1, 2]",,
,,,"[0, 0, 0, 31, 2, 1, 3, 2, 2, 1, 2, 1, 2, 2, 3, 2, 2, 1, 2]",,
,,,"[0, 0, 0, 32, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5]",,
,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,
,,,"[0, 0, 0, 32, 4, 4, 4, 4, 4, 4, 4, 3, 4, 5, 4, 4, 4, 4, 4]",,
,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,
,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,
,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 3, 1, 2, 2, 2, 2, 2, 2, 2]",,
,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,
,,,"[0, 0, 0, 32, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5]",,
,,,"[0, 0, 0, 0, 0, 34, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7]",,
,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,
,,,"[0, 0, 0, 0, 0, 31, 2, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2]",,
,,,"[0, 0, 0, 0, 0, 35, 9, 8, 8, 8, 9, 8, 8, 8, 9, 8, 8, 8, 8]",,
,,,"[0, 0, 0, 0, 0, 31, 2, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2]",,
,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,
,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 2, 2, 2, 2, 2, 2, 2]",,
,,,"[0, 0, 0, 0, 0, 31, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]",,
,,,"[0, 0, 0, 31, 2, 2, 2, 2, 2, 1, 2, 1, 2, 3, 2, 2, 2, 2, 2]",,
,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,
,,,"[0, 0, 0, 0, 0, 32, 4, 5, 4, 3, 5, 3, 4, 4, 5, 4, 4, 4, 4]",,
,,,"[0, 0, 0, 28, 8, 6, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 8, 6]",,
,,,"[0, 0, 0, 23, 10, 1, 3, 2, 2, 1, 2, 1, 2, 2, 3, 2, 2, 1, 2]",,
,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,
,,,"[0, 0, 0, 33, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 7, 7]",,
,,,"[0, 0, 0, 0, 0, 32, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",,
,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,
,,,"[0, 0, 0, 31, 2, 1, 3, 2, 2, 1, 2, 1, 2, 2, 2, 3, 2, 1, 2]",,
,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,
