0.01,0.02,0.03,0.04
,,,"[7, 57, 39, 38, 42, 45, 40, 38, 36, 42, 40, 38, 38, 45, 36, 39, 41, 43, 41]"
,,,"[5, 60, 36, 36, 42, 39, 37, 36, 39, 38, 36, 37, 39, 41, 34, 36, 37, 42, 37]"
,,,"[6, 63, 40, 40, 46, 46, 43, 41, 39, 42, 40, 39, 44, 49, 38, 39, 46, 39, 43]"
,,,"[6, 50, 25, 26, 29, 33, 25, 26, 25, 28, 27, 26, 26, 32, 23, 28, 28, 29, 27]"
,,,"[7, 53, 29, 30, 34, 39, 29, 30, 27, 33, 30, 29, 31, 35, 31, 30, 32, 33, 30]"
,,,"[7, 59, 35, 36, 38, 46, 38, 35, 34, 40, 37, 36, 38, 42, 35, 36, 40, 37, 40]"
,,,"[5, 69, 44, 44, 51, 54, 45, 44, 40, 47, 47, 44, 49, 48, 45, 44, 46, 51, 45]"
,,,"[7, 52, 31, 30, 34, 37, 28, 31, 28, 33, 32, 30, 29, 36, 30, 31, 32, 32, 33]"
,,,"[5, 59, 32, 34, 41, 36, 37, 34, 34, 36, 32, 35, 36, 39, 36, 34, 34, 40, 35]"
,,,"[5, 57, 31, 33, 38, 36, 33, 32, 32, 33, 32, 32, 35, 38, 32, 32, 32, 34, 35]"
,,,"[4, 72, 46, 46, 53, 54, 48, 45, 42, 49, 47, 46, 50, 54, 42, 47, 48, 50, 48]"
,,,"[6, 56, 31, 33, 34, 42, 32, 33, 29, 32, 33, 32, 32, 39, 35, 31, 34, 34, 32]"
,,,"[8, 66, 47, 48, 57, 52, 54, 49, 41, 52, 50, 48, 49, 57, 49, 49, 50, 49, 52]"
,,,"[7, 59, 36, 36, 42, 44, 37, 35, 30, 40, 36, 37, 38, 44, 34, 37, 37, 40, 39]"
,,,"[8, 51, 31, 29, 38, 30, 31, 29, 33, 31, 31, 30, 32, 36, 24, 30, 34, 35, 32]"
,,,"[10, 61, 42, 41, 46, 50, 43, 42, 45, 43, 42, 42, 45, 51, 42, 43, 43, 45, 43]"
,,,"[6, 58, 35, 36, 41, 44, 35, 37, 36, 39, 36, 36, 39, 42, 36, 37, 38, 40, 37]"
,,,"[6, 50, 25, 27, 32, 29, 26, 26, 24, 28, 26, 26, 27, 31, 28, 26, 29, 24, 28]"
,,,"[6, 60, 36, 36, 41, 44, 39, 36, 29, 37, 38, 36, 37, 44, 37, 35, 38, 41, 36]"
,,,"[8, 52, 30, 30, 34, 37, 29, 31, 27, 32, 29, 31, 33, 36, 30, 31, 31, 31, 32]"
,,,"[4, 62, 36, 36, 45, 41, 35, 37, 34, 39, 36, 36, 38, 41, 34, 36, 41, 41, 37]"
,,,"[5, 53, 28, 28, 33, 33, 27, 30, 25, 31, 27, 30, 30, 32, 26, 28, 30, 32, 29]"
,,,"[5, 59, 34, 34, 37, 40, 38, 34, 28, 38, 35, 35, 35, 38, 35, 34, 36, 40, 35]"
,,,"[5, 56, 33, 32, 38, 38, 31, 33, 28, 35, 32, 32, 33, 36, 33, 32, 35, 37, 33]"
,,,"[7, 56, 38, 36, 42, 41, 39, 36, 36, 38, 36, 36, 37, 40, 38, 36, 38, 42, 36]"
,,,"[8, 51, 29, 30, 33, 38, 32, 30, 23, 36, 30, 29, 32, 32, 31, 30, 32, 36, 31]"
,,,"[8, 56, 33, 34, 41, 39, 35, 34, 33, 36, 34, 34, 36, 42, 31, 36, 37, 35, 35]"
,,,"[5, 57, 35, 34, 37, 40, 36, 33, 28, 40, 36, 35, 33, 36, 36, 34, 38, 37, 37]"
,,,"[6, 64, 39, 40, 44, 52, 40, 40, 33, 48, 40, 40, 45, 42, 40, 40, 45, 44, 39]"
,,,"[6, 55, 32, 32, 36, 38, 34, 32, 30, 36, 32, 32, 33, 37, 34, 32, 34, 36, 32]"
,,,"[8, 72, 52, 52, 61, 62, 54, 53, 44, 58, 51, 52, 54, 61, 50, 53, 57, 55, 58]"
,,,"[7, 59, 39, 37, 45, 43, 40, 37, 39, 40, 38, 37, 40, 47, 37, 38, 40, 43, 38]"
,,,"[5, 65, 40, 43, 50, 48, 43, 42, 40, 45, 43, 42, 46, 47, 41, 43, 44, 45, 42]"
