beta,month,obs_monthly,obs_cumulative,abm_mean_monthly,abm_sd_monthly,abm_mean_cumulative,abm_sd_cumulative,sigma_used,residual_cumulative
0.03794,4,2.0,9.0,2.26,2.380276094429864,14.08,5.3293182165321324,5.3293182165321324,-5.08
0.03794,5,1.0,10.0,2.12,2.300310538042325,16.2,7.018924855164713,7.018924855164713,-6.199999999999999
0.03794,6,1.0,11.0,2.46,2.5006937812845265,18.66,8.950225171035916,8.950225171035916,-7.66
0.03794,7,2.0,13.0,2.68,2.930765728457674,21.34,11.352622640444212,11.352622640444212,-8.34
0.03794,8,2.0,15.0,1.4,1.5518257844571735,22.74,12.369828335964268,12.369828335964268,-7.739999999999998
0.03794,9,6.0,21.0,0.5,1.0926470386270253,23.24,12.724009123042364,12.724009123042364,-2.2399999999999984
0.03794,10,1.0,22.0,0.76,1.5851350293348803,24.0,13.318699452350474,13.318699452350474,-2.0
0.03794,11,1.0,23.0,0.82,1.6123249786363456,24.82,14.088191610605776,14.088191610605776,-1.8200000000000003
0.03794,12,0.0,23.0,0.9,1.7871422861709725,25.72,15.078082485136212,15.078082485136212,-2.719999999999999
0.03794,13,2.0,25.0,1.22,2.5013465761220606,26.94,16.687291999773787,16.687291999773787,-1.9400000000000013
0.03794,14,1.0,26.0,0.52,1.249326349090025,27.46,17.52224242475365,17.52224242475365,-1.4600000000000009
0.03794,15,1.0,27.0,0.16,0.5095015571464863,27.62,17.684179485676815,17.684179485676815,-0.620000000000001
0.03794,16,2.0,29.0,0.42,1.2950455038889013,28.04,18.31466458266463,18.31466458266463,0.9600000000000009
0.03794,17,5.0,34.0,0.22,0.6480740698407863,28.26,18.614028065314784,18.614028065314784,5.739999999999998
0.03794,18,2.0,36.0,0.32,1.0961900624714793,28.58,19.06389899516778,19.06389899516778,7.420000000000002
0.03794,19,2.0,38.0,0.48,1.460220838763502,29.06,20.02285428897566,20.02285428897566,8.940000000000001
0.03797,1,5.0,5.0,6.74,2.097714986185041,6.74,2.097714986185041,2.097714986185041,-1.7400000000000002
0.03797,2,2.0,7.0,2.88,1.685956399077935,9.62,2.8847947615604355,2.8847947615604355,-2.619999999999999
0.03797,3,0.0,7.0,1.3,1.3439205515876271,10.92,3.397718322038831,3.397718322038831,-3.92
0.03797,4,2.0,9.0,2.04,2.02997939066647,12.96,4.458241622809035,4.458241622809035,-3.960000000000001
0.03797,5,1.0,10.0,2.1,2.072659732649558,15.06,5.697869275941165,5.697869275941165,-5.0600000000000005
0.03797,6,1.0,11.0,2.48,2.4927650412785414,17.54,7.459304558053378,7.459304558053378,-6.539999999999999
0.03797,7,2.0,13.0,3.08,2.505829937060651,20.62,9.198247392957029,9.198247392957029,-7.620000000000001
0.03797,8,2.0,15.0,1.52,1.764039890335215,22.14,10.511432066166469,10.511432066166469,-7.140000000000001
0.03797,9,6.0,21.0,0.5,0.9741558354989898,22.64,11.000482364191942,11.000482364191942,-1.6400000000000006
0.03797,10,1.0,22.0,0.86,1.5119928733230161,23.5,11.884220373148212,11.884220373148212,-1.5
0.03797,11,1.0,23.0,1.0,2.040408122440814,24.5,13.276110199934932,13.276110199934932,-1.5
0.03797,12,0.0,23.0,0.84,1.5031938786246755,25.34,14.313701157154515,14.313701157154515,-2.34
