beta,iteration,monthly_incidence_m1,monthly_cumulative_m1,monthly_incidence_m2,monthly_cumulative_m2,monthly_incidence_m3,monthly_cumulative_m3,monthly_incidence_m4,monthly_cumulative_m4,monthly_incidence_m5,monthly_cumulative_m5,monthly_incidence_m6,monthly_cumulative_m6,monthly_incidence_m7,monthly_cumulative_m7,monthly_incidence_m8,monthly_cumulative_m8,monthly_incidence_m9,monthly_cumulative_m9,monthly_incidence_m10,monthly_cumulative_m10,monthly_incidence_m11,monthly_cumulative_m11,monthly_incidence_m12,monthly_cumulative_m12,monthly_incidence_m13,monthly_cumulative_m13,monthly_incidence_m14,monthly_cumulative_m14,monthly_incidence_m15,monthly_cumulative_m15,monthly_incidence_m16,monthly_cumulative_m16,monthly_incidence_m17,monthly_cumulative_m17,monthly_incidence_m18,monthly_cumulative_m18,monthly_incidence_m19,monthly_cumulative_m19
0.036,44,12.0,12.0,3.0,15.0,1.0,16.0,0.0,16.0,2.0,18.0,0.0,18.0,4.0,22.0,4.0,26.0,4.0,30.0,1.0,31.0,5.0,36.0,3.0,39.0,7.0,46.0,1.0,47.0,0.0,47.0,0.0,47.0,0.0,47.0,0.0,47.0,0.0,47.0
0.036,45,9.0,9.0,4.0,13.0,4.0,17.0,1.0,18.0,6.0,24.0,5.0,29.0,4.0,33.0,3.0,36.0,2.0,38.0,3.0,41.0,3.0,44.0,4.0,48.0,3.0,51.0,4.0,55.0,0.0,55.0,0.0,55.0,0.0,55.0,0.0,55.0,0.0,55.0
0.036,46,6.0,6.0,5.0,11.0,2.0,13.0,1.0,14.0,4.0,18.0,5.0,23.0,6.0,29.0,1.0,30.0,2.0,32.0,4.0,36.0,2.0,38.0,3.0,41.0,3.0,44.0,0.0,44.0,2.0,46.0,1.0,47.0,2.0,49.0,3.0,52.0,4.0,56.0
0.036,47,5.0,5.0,5.0,10.0,5.0,15.0,5.0,20.0,7.0,27.0,1.0,28.0,2.0,30.0,3.0,33.0,3.0,36.0,0.0,36.0,2.0,38.0,4.0,42.0,4.0,46.0,2.0,48.0,0.0,48.0,0.0,48.0,0.0,48.0,0.0,48.0,0.0,48.0
0.036,48,5.0,5.0,4.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0
0.036,49,3.0,3.0,5.0,8.0,2.0,10.0,4.0,14.0,1.0,15.0,2.0,17.0,2.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0,0.0,19.0
0.037,0,4.0,4.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0
0.037,1,6.0,6.0,1.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,2.0,9.0,1.0,10.0,1.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0
0.037,2,5.0,5.0,1.0,6.0,1.0,7.0,2.0,9.0,1.0,10.0,0.0,10.0,1.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,11.0
0.037,3,7.0,7.0,1.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0
0.037,4,7.0,7.0,2.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,1.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0
0.037,5,9.0,9.0,2.0,11.0,2.0,13.0,2.0,15.0,1.0,16.0,5.0,21.0,2.0,23.0,2.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0
0.037,6,6.0,6.0,4.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0
