0.01,0.03,0.05,0.07,0.09
,,"[5, 53, 33, 32, 37, 38, 31, 32, 32, 35, 31, 34, 32, 38, 34, 32, 33, 36, 34]",,
,,"[3, 62, 36, 36, 40, 44, 38, 36, 37, 36, 36, 36, 39, 42, 37, 36, 39, 39, 36]",,
,,"[2, 54, 26, 26, 27, 32, 28, 26, 26, 28, 26, 26, 28, 32, 26, 26, 26, 29, 27]",,
,,"[3, 64, 38, 38, 45, 47, 39, 38, 38, 39, 38, 38, 43, 43, 40, 38, 39, 40, 40]",,
,,"[3, 56, 30, 29, 35, 36, 31, 30, 31, 30, 28, 32, 33, 35, 32, 30, 32, 32, 30]",,
,,"[6, 55, 32, 32, 39, 37, 32, 32, 32, 34, 31, 33, 34, 38, 34, 32, 34, 34, 33]",,
,,"[5, 57, 32, 32, 40, 38, 32, 32, 33, 32, 32, 32, 34, 40, 33, 32, 34, 34, 32]",,
,,"[3, 56, 30, 30, 33, 38, 31, 30, 30, 31, 25, 33, 32, 33, 31, 30, 34, 33, 31]",,
,,"[3, 50, 24, 24, 29, 28, 24, 25, 25, 24, 24, 24, 27, 26, 26, 25, 25, 26, 24]",,
,,"[3, 49, 22, 22, 29, 22, 24, 22, 22, 22, 22, 22, 24, 27, 23, 23, 23, 22, 22]",,
,,"[6, 75, 53, 52, 59, 66, 51, 54, 53, 53, 44, 55, 55, 58, 55, 52, 56, 59, 53]",,
,,"[5, 59, 34, 34, 39, 41, 35, 34, 36, 33, 35, 34, 36, 40, 36, 35, 34, 39, 34]",,
,,"[4, 58, 32, 32, 38, 39, 32, 32, 33, 32, 32, 32, 34, 38, 35, 33, 31, 36, 32]",,
,,"[3, 64, 38, 38, 45, 45, 40, 38, 38, 38, 38, 38, 45, 45, 40, 38, 36, 41, 38]",,
,,,"[4, 58, 32, 32, 44, 34, 32, 32, 33, 31, 32, 33, 36, 36, 32, 32, 36, 34, 33]",
,,,"[4, 66, 40, 40, 48, 47, 42, 40, 42, 40, 40, 40, 48, 44, 43, 40, 42, 42, 40]",
,,,"[2, 73, 46, 46, 57, 54, 47, 46, 47, 46, 42, 48, 51, 55, 45, 47, 50, 49, 47]",
,,,"[4, 54, 28, 28, 36, 31, 29, 28, 29, 28, 28, 28, 30, 32, 31, 28, 32, 28, 28]",
,,,"[5, 81, 56, 56, 66, 66, 60, 56, 58, 56, 55, 57, 64, 67, 56, 56, 60, 58, 58]",
,,,"[5, 77, 52, 52, 66, 62, 52, 52, 53, 52, 51, 53, 60, 58, 56, 52, 56, 54, 53]",
,,,"[4, 72, 46, 46, 57, 55, 46, 46, 48, 46, 46, 46, 52, 54, 50, 46, 48, 47, 47]",
,,,"[5, 73, 48, 48, 61, 56, 48, 47, 50, 47, 49, 48, 55, 56, 49, 48, 52, 50, 49]",
,,,"[2, 72, 44, 44, 56, 52, 44, 44, 44, 44, 43, 45, 53, 50, 47, 45, 47, 44, 44]",
,,,"[4, 49, 24, 24, 27, 27, 24, 25, 24, 25, 26, 24, 27, 27, 25, 24, 24, 26, 26]",
,,,"[5, 73, 48, 48, 60, 56, 49, 48, 50, 48, 48, 48, 57, 55, 50, 48, 52, 49, 48]",
,,,"[5, 56, 32, 32, 40, 36, 33, 32, 32, 33, 32, 32, 35, 37, 34, 32, 35, 34, 32]",
,,,"[5, 59, 34, 34, 40, 42, 34, 34, 34, 35, 33, 35, 37, 39, 36, 34, 35, 38, 35]",
,,,"[6, 72, 48, 48, 60, 56, 50, 48, 49, 48, 47, 48, 55, 56, 48, 48, 52, 52, 48]",
,,,"[5, 57, 32, 32, 39, 38, 33, 32, 33, 32, 31, 33, 34, 40, 33, 32, 37, 32, 32]",
,,,"[4, 52, 26, 26, 32, 30, 26, 26, 27, 26, 26, 26, 28, 31, 27, 26, 27, 29, 26]",
,,,"[7, 55, 32, 32, 40, 37, 33, 32, 32, 33, 31, 33, 33, 38, 33, 32, 35, 36, 31]",
,,,"[5, 72, 48, 48, 63, 53, 50, 48, 49, 48, 47, 49, 55, 58, 50, 48, 51, 49, 48]",
,,,"[4, 70, 44, 44, 55, 51, 45, 44, 45, 44, 44, 44, 53, 54, 44, 44, 44, 46, 44]",
,,,"[6, 62, 38, 38, 47, 46, 38, 38, 38, 39, 38, 38, 40, 48, 39, 38, 42, 36, 41]",
,,,"[3, 71, 44, 44, 54, 52, 45, 44, 46, 44, 43, 45, 48, 53, 46, 44, 48, 46, 44]",
,,,"[3, 77, 50, 50, 60, 61, 52, 49, 51, 51, 50, 50, 57, 59, 52, 50, 54, 52, 50]",
,,,"[7, 71, 48, 48, 60, 55, 50, 48, 49, 48, 48, 48, 52, 61, 49, 48, 51, 50, 48]",
,,,"[4, 46, 20, 20, 24, 23, 20, 20, 21, 20, 20, 20, 23, 22, 21, 20, 22, 21, 20]",
,,,"[6, 56, 32, 32, 40, 36, 33, 32, 32, 33, 32, 32, 35, 38, 34, 33, 32, 35, 31]",
,,,"[6, 72, 48, 48, 59, 57, 49, 48, 50, 48, 48, 48, 54, 60, 49, 48, 53, 48, 48]",
,,,"[6, 68, 44, 44, 58, 49, 45, 44, 46, 44, 44, 44, 49, 52, 46, 45, 45, 47, 44]",
,,,"[6, 72, 48, 48, 59, 57, 49, 48, 49, 48, 48, 48, 54, 56, 51, 49, 50, 51, 48]",
,,,"[4, 54, 28, 28, 31, 37, 28, 28, 28, 28, 28, 28, 35, 31, 30, 28, 30, 28, 27]",
,,,"[4, 66, 40, 40, 49, 49, 40, 40, 41, 40, 40, 40, 49, 47, 40, 40, 44, 40, 40]",
,,,"[7, 64, 42, 42, 53, 47, 44, 42, 43, 42, 40, 43, 50, 51, 42, 42, 44, 42, 43]",
,,,"[6, 74, 50, 50, 65, 58, 50, 50, 50, 51, 49, 50, 57, 63, 51, 50, 53, 50, 50]",
,,,"[3, 45, 18, 18, 20, 23, 17, 19, 18, 18, 18, 18, 19, 23, 18, 18, 19, 19, 18]",
