0.06,0.075,0.08,0.09
,,,"[11, 65, 46, 46, 59, 54, 46, 46, 46, 46, 46, 46, 60, 52, 47, 46, 48, 46, 46]"
,,,"[10, 78, 58, 58, 73, 69, 59, 58, 60, 58, 58, 58, 64, 74, 58, 58, 64, 59, 58]"
,,,"[10, 72, 52, 52, 67, 61, 52, 52, 54, 52, 52, 52, 60, 63, 53, 52, 57, 52, 52]"
,,,"[13, 77, 60, 60, 79, 68, 60, 60, 60, 61, 60, 60, 69, 77, 60, 60, 61, 62, 60]"
,,,"[7, 81, 58, 58, 72, 71, 58, 58, 59, 58, 58, 58, 70, 70, 58, 58, 59, 61, 58]"
,,,"[12, 78, 60, 60, 80, 68, 60, 60, 60, 61, 60, 60, 72, 74, 60, 60, 63, 60, 60]"
,,,"[9, 69, 48, 48, 59, 58, 49, 48, 48, 48, 48, 48, 57, 60, 49, 48, 49, 48, 48]"
,,,"[8, 61, 40, 40, 51, 47, 39, 41, 41, 40, 40, 40, 49, 45, 42, 41, 43, 40, 40]"
,,,"[8, 76, 54, 54, 69, 64, 54, 54, 53, 55, 54, 54, 65, 66, 55, 54, 56, 54, 54]"
,,,"[11, 76, 59, 58, 73, 67, 58, 58, 59, 59, 59, 58, 69, 70, 58, 58, 61, 58, 60]"
,,,"[8, 78, 56, 56, 64, 72, 57, 56, 57, 56, 56, 56, 65, 70, 58, 56, 58, 56, 56]"
,,,"[9, 77, 56, 56, 74, 64, 56, 56, 56, 57, 56, 56, 69, 64, 57, 56, 60, 57, 56]"
,,,"[9, 75, 54, 54, 72, 61, 54, 54, 56, 54, 54, 54, 63, 65, 55, 54, 58, 55, 54]"
,,,"[8, 80, 58, 58, 78, 65, 58, 58, 58, 58, 58, 58, 68, 74, 58, 58, 59, 59, 58]"
,,,"[10, 62, 42, 42, 49, 52, 43, 42, 44, 42, 42, 42, 49, 48, 45, 42, 46, 42, 42]"
,,,"[9, 59, 38, 38, 48, 43, 38, 38, 38, 40, 38, 38, 42, 47, 40, 38, 38, 41, 37]"
,,,"[10, 64, 44, 44, 56, 51, 45, 44, 45, 45, 44, 44, 52, 52, 42, 44, 51, 44, 44]"
,,,"[9, 79, 58, 58, 74, 67, 59, 58, 58, 58, 59, 58, 67, 70, 59, 59, 61, 60, 58]"
,,,"[10, 78, 58, 58, 74, 69, 58, 58, 58, 58, 58, 58, 72, 69, 59, 58, 60, 58, 58]"
,,,"[9, 77, 56, 56, 71, 66, 57, 56, 56, 56, 56, 56, 66, 70, 56, 56, 59, 56, 56]"
,,,"[9, 77, 56, 56, 70, 67, 57, 56, 57, 57, 56, 56, 65, 64, 59, 56, 63, 56, 56]"
,,,"[10, 78, 58, 58, 73, 68, 60, 58, 59, 58, 58, 58, 66, 70, 63, 59, 60, 59, 58]"
,,,"[9, 77, 56, 56, 72, 65, 56, 56, 57, 56, 56, 56, 65, 71, 57, 56, 58, 56, 56]"
,,,"[9, 75, 54, 54, 70, 62, 55, 54, 54, 54, 54, 54, 65, 66, 54, 54, 57, 54, 54]"
,,,"[7, 81, 58, 58, 74, 68, 58, 58, 59, 58, 58, 58, 68, 72, 60, 58, 60, 58, 58]"
,,,"[9, 63, 42, 42, 49, 52, 44, 42, 42, 43, 42, 42, 46, 53, 43, 42, 43, 45, 42]"
,,,"[9, 57, 36, 36, 46, 40, 37, 36, 37, 36, 36, 36, 41, 44, 35, 38, 39, 37, 36]"
,,,"[9, 60, 40, 40, 52, 46, 40, 40, 40, 40, 40, 40, 50, 44, 43, 40, 41, 41, 40]"
,,,"[12, 78, 60, 60, 83, 64, 60, 60, 61, 60, 60, 60, 76, 70, 60, 61, 63, 60, 60]"
,,,"[10, 78, 58, 58, 74, 68, 59, 58, 59, 58, 58, 58, 73, 67, 59, 58, 59, 60, 58]"
,,,"[8, 61, 40, 40, 49, 49, 40, 40, 41, 40, 40, 40, 46, 50, 40, 40, 44, 40, 40]"
,,,"[10, 76, 56, 56, 72, 65, 56, 56, 57, 56, 56, 56, 68, 68, 57, 56, 58, 56, 56]"
,,,"[9, 60, 40, 40, 53, 44, 40, 40, 40, 41, 40, 40, 50, 47, 40, 40, 43, 40, 40]"
,,,"[8, 82, 60, 60, 81, 66, 60, 60, 60, 61, 60, 60, 72, 73, 62, 60, 62, 60, 60]"
